order_id,customer_id,order_date,ship_date,sales_region,order_status
O-000070,C-0063,2025-10-11,2025-10-20,Europe,Delivered
O-000071,C-0077,2025-02-21,2025-02-24,Europe,Delivered
O-000072,C-0093,2025-05-02,2025-05-05,Europe,Shipped
O-000073,C-0049,2025-01-13,2025-01-21,North America,Shipped
O-000074,C-0118,2025-08-10,2025-08-22,Europe,Shipped
O-000075,C-0033,2025-04-29,2025-05-12,Europe,Shipped
O-000076,C-0076,2025-09-08,2025-09-19,Europe,Shipped
O-000077,C-0054,2025-08-24,2025-09-05,Europe,Delivered
O-000078,C-0057,2025-12-01,2025-12-10,Europe,Delivered
O-000079,C-0034,2025-01-04,2025-01-10,Europe,Delivered
O-000080,C-0030,2025-05-10,2025-05-15,Europe,Delivered
O-000081,C-0094,2025-11-13,2025-11-17,Europe,Shipped
O-000082,C-0082,2025-04-06,2025-04-20,Europe,Shipped
O-000083,C-0035,2025-05-23,2025-06-05,Europe,Shipped
O-000084,C-0062,2025-09-28,2025-10-08,North America,Delivered
O-000085,C-0086,2025-02-18,2025-02-19,North America,Delivered
O-000086,C-0036,2025-08-09,2025-08-23,Europe,Shipped
O-000087,C-0040,2025-09-15,2025-09-29,Europe,Delivered
O-000088,C-0068,2025-02-15,2025-02-24,North America,Shipped
O-000089,C-0026,2025-02-19,2025-02-20,North America,Shipped
O-000090,C-0001,2025-04-11,2025-04-15,North America,Shipped
O-000091,C-0038,2025-07-26,2025-08-02,North America,Shipped
O-000092,C-0029,2025-09-02,2025-09-06,Europe,Shipped
O-000093,C-0097,2025-06-09,2025-06-18,North America,Shipped
O-000094,C-0095,2025-04-14,2025-04-24,Europe,Delivered
O-000095,C-0069,2025-05-17,2025-05-21,Europe,Delivered
O-000096,C-0114,2025-11-19,2025-11-26,Europe,Delivered
O-000097,C-0058,2025-01-06,2025-01-17,Europe,Delivered
O-000098,C-0093,2025-09-04,2025-09-16,Europe,Shipped
O-000099,C-0076,2025-06-13,2025-06-27,Europe,Shipped
O-000100,C-0109,2025-12-05,2025-12-10,North America,Shipped
O-000101,C-0055,2025-05-18,2025-05-21,North America,Shipped
O-000102,C-0022,2025-01-08,2025-01-11,Europe,Shipped
O-000103,C-0063,2025-05-30,2025-06-04,Europe,Delivered
O-000104,C-0092,2025-02-22,2025-03-06,North America,Shipped
O-000105,C-0054,2025-12-15,2025-12-21,Europe,Delivered
O-000106,C-0012,2025-01-18,2025-01-29,Europe,Shipped
O-000107,C-0101,2025-11-25,2025-11-26,Europe,Shipped
O-000108,C-0055,2025-01-01,2025-01-09,North America,Shipped
O-000109,C-0061,2025-09-24,2025-10-04,North America,Delivered
O-000110,C-0019,2025-12-08,2025-12-20,North America,Delivered
O-000111,C-0095,2025-04-28,2025-05-04,Europe,Shipped
O-000112,C-0075,2025-03-18,2025-03-31,Europe,Shipped
O-000113,C-0092,2025-07-11,2025-07-20,North America,Delivered
O-000114,C-0073,2025-11-08,2025-11-18,North America,Shipped
O-000115,C-0074,2025-11-11,2025-11-20,North America,Delivered
O-000116,C-0024,2025-01-27,2025-02-10,Europe,Shipped
O-000117,C-0002,2025-09-29,2025-10-11,North America,Delivered
O-000118,C-0115,2025-11-30,2025-12-03,North America,Shipped
O-000119,C-0117,2025-12-17,2025-12-23,Europe,Delivered
O-000120,C-0010,2025-09-25,2025-09-26,Europe,Shipped
O-000121,C-0007,2025-01-11,2025-01-19,North America,Shipped
O-000122,C-0031,2025-01-19,2025-01-29,North America,Shipped
O-000123,C-0071,2025-07-15,2025-07-23,Europe,Shipped
O-000124,C-0065,2025-11-17,2025-11-20,Europe,Delivered
O-000125,C-0008,2025-09-06,2025-09-17,North America,Shipped
O-000126,C-0050,2025-05-16,2025-05-27,North America,Delivered
O-000127,C-0007,2025-05-21,2025-06-01,North America,Shipped
O-000128,C-0082,2025-08-11,2025-08-24,Europe,Shipped
O-000129,C-0058,2025-10-26,2025-11-09,Europe,Delivered
O-000130,C-0049,2025-09-09,2025-09-20,North America,Shipped
O-000131,C-0047,2025-02-26,2025-03-03,Europe,Delivered
O-000132,C-0115,2025-10-14,2025-10-23,North America,Shipped
O-000133,C-0103,2025-01-25,2025-01-29,North America,Shipped
O-000134,C-0028,2025-12-30,2026-01-05,Europe,Shipped
O-000135,C-0013,2025-04-06,2025-04-15,North America,Shipped
O-000136,C-0018,2025-03-19,2025-03-25,Europe,Shipped
O-000137,C-0070,2025-06-23,2025-06-26,Europe,Shipped
O-000138,C-0074,2025-09-07,2025-09-09,North America,Shipped
O-000139,C-0025,2025-02-07,2025-02-13,North America,Shipped
O-000140,C-0105,2025-09-25,2025-09-29,Europe,Delivered
O-000141,C-0084,2025-02-02,2025-02-07,Europe,Shipped
O-000142,C-0087,2025-08-25,2025-09-05,Europe,Shipped
O-000143,C-0120,2025-04-22,2025-05-01,Europe,Shipped
O-000144,C-0090,2025-06-11,2025-06-23,Europe,Shipped
O-000145,C-0001,2025-08-23,2025-09-05,North America,Shipped
O-000146,C-0077,2025-08-16,2025-08-26,Europe,Delivered
O-000147,C-0017,2025-06-14,2025-06-22,Europe,Delivered
O-000148,C-0104,2025-03-31,2025-04-11,North America,Shipped
O-000149,C-0019,2025-07-19,2025-07-28,North America,Delivered
O-000150,C-0002,2025-07-21,2025-08-02,North America,Shipped
O-000151,C-0032,2025-02-24,2025-03-04,North America,Shipped
O-000152,C-0041,2025-10-16,2025-10-29,Europe,Shipped
O-000153,C-0003,2025-07-13,2025-07-22,Europe,Shipped
O-000154,C-0068,2025-12-30,2026-01-01,North America,Shipped
O-000155,C-0106,2025-08-31,2025-09-01,Europe,Shipped
O-000156,C-0031,2025-02-07,2025-02-15,North America,Shipped
O-000157,C-0110,2025-12-27,2026-01-01,North America,Delivered
O-000158,C-0065,2025-07-18,2025-07-23,Europe,Delivered
O-000159,C-0033,2025-08-08,2025-08-19,Europe,Delivered
O-000160,C-0035,2025-07-18,2025-07-30,Europe,Shipped
O-000161,C-0072,2025-05-22,2025-05-26,Europe,Delivered
O-000162,C-0078,2025-04-26,2025-05-05,Europe,Delivered
O-000163,C-0075,2025-04-12,2025-04-26,Europe,Delivered
O-000164,C-0057,2025-12-26,2025-12-27,Europe,Shipped
O-000165,C-0005,2025-08-16,2025-08-20,Europe,Shipped
O-000166,C-0111,2025-01-13,2025-01-21,Europe,Delivered
O-000167,C-0113,2025-07-27,2025-08-07,Europe,Shipped
O-000168,C-0022,2025-01-29,2025-02-11,Europe,Shipped
O-000169,C-0077,2025-02-25,2025-02-28,Europe,Shipped
O-000170,C-0114,2025-12-15,2025-12-20,Europe,Shipped
O-000171,C-0026,2025-03-13,2025-03-21,North America,Delivered
O-000172,C-0074,2025-01-28,2025-02-03,North America,Shipped
O-000173,C-0076,2025-07-29,2025-08-01,Europe,Delivered
O-000174,C-0020,2025-06-26,2025-07-10,North America,Shipped
O-000175,C-0005,2025-09-12,2025-09-25,Europe,Shipped
O-000176,C-0019,2025-02-07,2025-02-18,North America,Shipped
O-000177,C-0027,2025-01-31,2025-02-14,Europe,Delivered
O-000178,C-0063,2025-12-01,2025-12-12,Europe,Delivered
O-000179,C-0012,2025-09-05,2025-09-10,Europe,Shipped
O-000180,C-0015,2025-01-23,2025-01-28,Europe,Delivered
O-000181,C-0096,2025-06-26,2025-07-02,Europe,Delivered
O-000182,C-0058,2025-06-10,2025-06-18,Europe,Shipped
O-000183,C-0106,2025-11-18,2025-11-28,Europe,Shipped
O-000184,C-0103,2025-11-19,2025-11-21,North America,Shipped
O-000185,C-0100,2025-01-20,2025-01-31,Europe,Delivered
O-000186,C-0070,2025-08-18,2025-08-28,Europe,Shipped
O-000187,C-0068,2025-07-24,2025-07-30,North America,Shipped
O-000188,C-0113,2025-04-03,2025-04-04,Europe,Shipped
O-000189,C-0058,2025-07-13,2025-07-24,Europe,Delivered
O-000190,C-0094,2025-01-15,2025-01-28,Europe,Shipped
O-000191,C-0118,2025-07-15,2025-07-17,Europe,Delivered
O-000192,C-0084,2025-12-22,2025-12-26,Europe,Delivered
O-000193,C-0021,2025-09-29,2025-10-12,Europe,Shipped
O-000194,C-0018,2025-01-11,2025-01-22,Europe,Delivered
O-000195,C-0110,2025-03-24,2025-03-27,North America,Shipped
O-000196,C-0097,2025-02-14,2025-02-25,North America,Delivered
O-000197,C-0111,2025-01-22,2025-01-27,Europe,Shipped
O-000198,C-0048,2025-04-12,2025-04-25,Europe,Shipped
O-000199,C-0112,2025-12-11,2025-12-21,Europe,Delivered
O-000200,C-0034,2025-11-11,2025-11-15,Europe,Shipped
O-000201,C-0101,2025-08-06,2025-08-07,Europe,Shipped
O-000202,C-0011,2025-12-01,2025-12-02,Europe,Shipped
O-000203,C-0088,2025-09-30,2025-10-10,Europe,Shipped
O-000204,C-0002,2025-02-22,2025-03-07,North America,Shipped
O-000205,C-0048,2025-10-16,2025-10-28,Europe,Shipped
O-000206,C-0120,2025-01-28,2025-02-07,Europe,Delivered
O-000207,C-0040,2025-02-26,2025-02-27,Europe,Shipped
O-000208,C-0085,2025-07-10,2025-07-12,North America,Shipped
O-000209,C-0003,2025-08-22,2025-08-28,Europe,Delivered
O-000210,C-0077,2025-11-08,2025-11-21,Europe,Shipped
O-000211,C-0108,2025-04-02,2025-04-10,Europe,Delivered
O-000212,C-0095,2025-01-11,2025-01-16,Europe,Shipped
O-000213,C-0102,2025-02-12,2025-02-20,Europe,Delivered
O-000214,C-0005,2025-02-21,2025-02-25,Europe,Delivered
O-000215,C-0084,2025-07-09,2025-07-12,Europe,Shipped
O-000216,C-0032,2025-10-15,2025-10-16,North America,Shipped
O-000217,C-0029,2025-09-26,2025-10-05,Europe,Shipped
O-000218,C-0072,2025-04-20,2025-04-26,Europe,Delivered
O-000219,C-0003,2025-05-02,2025-05-13,Europe,Shipped
O-000220,C-0004,2025-02-17,2025-02-19,Europe,Shipped
O-000221,C-0032,2025-05-13,2025-05-14,North America,Delivered
O-000222,C-0026,2025-12-04,2025-12-07,North America,Shipped
O-000223,C-0025,2025-11-23,2025-12-07,North America,Shipped
O-000224,C-0055,2025-01-31,2025-02-06,North America,Shipped
O-000225,C-0089,2025-12-07,2025-12-13,Europe,Shipped
O-000226,C-0076,2025-09-17,2025-09-19,Europe,Shipped
O-000227,C-0004,2025-05-14,2025-05-25,Europe,Shipped
O-000228,C-0069,2025-07-30,2025-08-13,Europe,Delivered
O-000229,C-0060,2025-10-07,2025-10-12,Europe,Shipped
O-000230,C-0020,2025-02-21,2025-03-06,North America,Delivered
O-000231,C-0099,2025-11-01,2025-11-12,Europe,Shipped
O-000232,C-0117,2025-07-20,2025-07-22,Europe,Shipped
O-000233,C-0085,2025-02-15,2025-02-17,North America,Delivered
O-000234,C-0063,2025-08-21,2025-08-26,Europe,Delivered
O-000235,C-0079,2025-03-05,2025-03-13,North America,Delivered
O-000236,C-0071,2025-07-18,2025-07-28,Europe,Delivered
O-000237,C-0041,2025-02-22,2025-02-25,Europe,Shipped
O-000238,C-0066,2025-08-25,2025-09-05,Europe,Shipped
O-000239,C-0114,2025-06-06,2025-06-16,Europe,Delivered
O-000240,C-0016,2025-05-19,2025-05-31,Europe,Shipped
O-000241,C-0034,2025-03-05,2025-03-17,Europe,Shipped
O-000242,C-0004,2025-12-23,2025-12-31,Europe,Shipped
O-000243,C-0006,2025-11-14,2025-11-26,Europe,Delivered
O-000244,C-0046,2025-10-27,2025-11-04,Europe,Delivered
O-000245,C-0044,2025-05-08,2025-05-14,North America,Shipped
O-000246,C-0033,2025-05-28,2025-06-06,Europe,Shipped
O-000247,C-0108,2025-07-16,2025-07-28,Europe,Delivered
O-000248,C-0006,2025-04-04,2025-04-18,Europe,Shipped
O-000249,C-0057,2025-06-19,2025-06-24,Europe,Shipped
O-000250,C-0025,2025-05-25,2025-06-07,North America,Delivered
O-000251,C-0025,2025-07-15,2025-07-28,North America,Shipped
O-000252,C-0065,2025-05-06,2025-05-16,Europe,Delivered
O-000253,C-0069,2025-11-03,2025-11-10,Europe,Delivered
O-000254,C-0031,2025-03-04,2025-03-15,North America,Shipped
O-000255,C-0019,2025-03-10,2025-03-17,North America,Shipped
O-000256,C-0032,2025-08-17,2025-08-22,North America,Shipped
O-000257,C-0004,2025-09-30,2025-10-01,Europe,Shipped
O-000258,C-0090,2025-02-17,2025-02-28,Europe,Delivered
O-000259,C-0003,2025-12-28,2026-01-02,Europe,Shipped
O-000260,C-0039,2025-09-11,2025-09-13,Europe,Delivered
O-000261,C-0107,2025-10-05,2025-10-14,Europe,Shipped
O-000262,C-0021,2025-12-19,2025-12-30,Europe,Delivered
O-000263,C-0075,2025-06-03,2025-06-17,Europe,Delivered
O-000264,C-0065,2025-11-18,2025-11-20,Europe,Delivered
O-000265,C-0014,2025-07-06,2025-07-08,North America,Shipped
O-000266,C-0051,2025-09-09,2025-09-20,Europe,Delivered
O-000267,C-0061,2025-10-10,2025-10-21,North America,Shipped
O-000268,C-0037,2025-11-19,2025-11-30,North America,Shipped
O-000269,C-0116,2025-04-07,2025-04-21,North America,Delivered
O-000270,C-0023,2025-10-13,2025-10-26,Europe,Shipped
O-000271,C-0005,2025-07-21,2025-07-23,Europe,Shipped
O-000272,C-0029,2025-04-22,2025-04-23,Europe,Shipped
O-000273,C-0108,2025-04-22,2025-04-26,Europe,Shipped
O-000274,C-0008,2025-11-10,2025-11-11,North America,Shipped
O-000275,C-0001,2025-02-07,2025-02-20,North America,Shipped
O-000276,C-0094,2025-02-01,2025-02-05,Europe,Shipped
O-000277,C-0098,2025-09-11,2025-09-21,North America,Shipped
O-000278,C-0088,2025-08-02,2025-08-06,Europe,Delivered
O-000279,C-0059,2025-10-07,2025-10-17,Europe,Shipped
O-000280,C-0063,2025-10-20,2025-11-03,Europe,Shipped
O-000281,C-0087,2025-12-06,2025-12-18,Europe,Delivered
O-000282,C-0025,2025-05-08,2025-05-09,North America,Shipped
O-000283,C-0052,2025-09-24,2025-09-25,Europe,Shipped
O-000284,C-0008,2025-10-19,2025-10-28,North America,Shipped
O-000285,C-0028,2025-09-09,2025-09-14,Europe,Shipped
O-000286,C-0106,2025-05-09,2025-05-23,Europe,Delivered
O-000287,C-0014,2025-05-21,2025-05-31,North America,Shipped
O-000288,C-0033,2025-03-30,2025-04-10,Europe,Shipped
O-000289,C-0107,2025-10-18,2025-10-22,Europe,Shipped
O-000290,C-0080,2025-01-17,2025-01-28,North America,Shipped
O-000291,C-0112,2025-10-06,2025-10-13,Europe,Shipped
O-000292,C-0039,2025-07-25,2025-08-04,Europe,Shipped
O-000293,C-0090,2025-11-16,2025-11-20,Europe,Shipped
O-000294,C-0075,2025-04-21,2025-04-29,Europe,Shipped
O-000295,C-0063,2025-11-23,2025-12-05,Europe,Delivered
O-000296,C-0017,2025-12-29,2026-01-05,Europe,Shipped
O-000297,C-0041,2025-03-18,2025-03-25,Europe,Shipped
O-000298,C-0045,2025-02-27,2025-03-05,Europe,Shipped
O-000299,C-0117,2025-10-27,2025-10-30,Europe,Delivered
O-000300,C-0027,2025-02-06,2025-02-07,Europe,Shipped
O-000301,C-0074,2025-10-06,2025-10-07,North America,Delivered
O-000302,C-0075,2025-02-13,2025-02-23,Europe,Shipped
O-000303,C-0048,2025-10-28,2025-11-10,Europe,Shipped
O-000304,C-0090,2025-01-17,2025-01-31,Europe,Delivered
O-000305,C-0071,2025-12-07,2025-12-08,Europe,Shipped
O-000306,C-0078,2025-01-27,2025-02-02,Europe,Shipped
O-000307,C-0055,2025-12-10,2025-12-15,North America,Delivered
O-000308,C-0009,2025-08-06,2025-08-10,Europe,Shipped
O-000309,C-0024,2025-05-19,2025-05-21,Europe,Shipped
O-000310,C-0025,2025-09-10,2025-09-15,North America,Delivered
O-000311,C-0052,2025-09-19,2025-09-21,Europe,Shipped
O-000312,C-0052,2025-02-20,2025-03-03,Europe,Shipped
O-000313,C-0027,2025-07-21,2025-07-30,Europe,Shipped
O-000314,C-0031,2025-09-01,2025-09-14,North America,Shipped
O-000315,C-0062,2025-05-11,2025-05-13,North America,Shipped
O-000316,C-0112,2025-09-18,2025-09-22,Europe,Shipped
O-000317,C-0022,2025-04-02,2025-04-12,Europe,Shipped
O-000318,C-0073,2025-10-08,2025-10-12,North America,Shipped
O-000319,C-0094,2025-11-28,2025-12-02,Europe,Shipped
O-000320,C-0092,2025-08-23,2025-09-04,North America,Shipped
O-000321,C-0107,2025-11-18,2025-11-19,Europe,Delivered
O-000322,C-0114,2025-11-17,2025-11-20,Europe,Shipped
O-000323,C-0115,2025-06-29,2025-07-04,North America,Shipped
O-000324,C-0014,2025-01-15,2025-01-21,North America,Shipped
O-000325,C-0067,2025-12-29,2026-01-11,North America,Shipped
O-000326,C-0058,2025-07-08,2025-07-13,Europe,Delivered
O-000327,C-0060,2025-03-14,2025-03-22,Europe,Shipped
O-000328,C-0087,2025-05-12,2025-05-15,Europe,Shipped
O-000329,C-0043,2025-11-01,2025-11-08,North America,Delivered
O-000330,C-0059,2025-09-03,2025-09-09,Europe,Delivered
O-000331,C-0076,2025-07-31,2025-08-03,Europe,Shipped
O-000332,C-0075,2025-07-19,2025-07-20,Europe,Shipped
O-000333,C-0110,2025-05-04,2025-05-07,North America,Shipped
O-000334,C-0079,2025-07-12,2025-07-24,North America,Shipped
O-000335,C-0089,2025-05-13,2025-05-23,Europe,Shipped
O-000336,C-0019,2025-08-09,2025-08-18,North America,Delivered
O-000337,C-0101,2025-08-15,2025-08-23,Europe,Shipped
O-000338,C-0011,2025-12-13,2025-12-22,Europe,Shipped
O-000339,C-0119,2025-11-13,2025-11-14,Europe,Shipped
O-000340,C-0003,2025-04-16,2025-04-20,Europe,Delivered
O-000341,C-0005,2025-09-28,2025-10-11,Europe,Shipped
O-000342,C-0031,2025-05-23,2025-05-27,North America,Shipped
O-000343,C-0119,2025-08-23,2025-08-30,Europe,Delivered
O-000344,C-0018,2025-06-07,2025-06-18,Europe,Shipped
O-000345,C-0007,2025-05-27,2025-06-05,North America,Shipped
O-000346,C-0074,2025-02-14,2025-02-17,North America,Shipped
O-000347,C-0059,2025-08-08,2025-08-18,Europe,Delivered
O-000348,C-0019,2025-06-21,2025-07-01,North America,Shipped
O-000349,C-0111,2025-08-09,2025-08-11,Europe,Shipped
O-000350,C-0118,2025-09-10,2025-09-11,Europe,Delivered
O-000351,C-0072,2025-11-30,2025-12-06,Europe,Delivered
O-000352,C-0006,2025-02-11,2025-02-13,Europe,Delivered
O-000353,C-0092,2025-03-22,2025-03-28,North America,Shipped
O-000354,C-0038,2025-10-06,2025-10-09,North America,Shipped
O-000355,C-0064,2025-08-27,2025-09-08,Europe,Shipped
O-000356,C-0021,2025-01-15,2025-01-24,Europe,Shipped
O-000357,C-0094,2025-08-21,2025-08-27,Europe,Delivered
O-000358,C-0098,2025-04-02,2025-04-03,North America,Shipped
O-000359,C-0009,2025-03-20,2025-04-01,Europe,Delivered
O-000360,C-0108,2025-05-30,2025-06-04,Europe,Shipped
O-000361,C-0094,2025-12-05,2025-12-06,Europe,Delivered
O-000362,C-0049,2025-08-28,2025-09-07,North America,Shipped
O-000363,C-0021,2025-03-01,2025-03-06,Europe,Shipped
O-000364,C-0055,2025-03-06,2025-03-12,North America,Delivered
O-000365,C-0006,2025-06-19,2025-06-23,Europe,Shipped
O-000366,C-0052,2025-01-24,2025-02-07,Europe,Shipped
O-000367,C-0091,2025-02-10,2025-02-19,North America,Delivered
O-000368,C-0063,2025-08-01,2025-08-07,Europe,Delivered
O-000369,C-0034,2025-03-13,2025-03-18,Europe,Delivered
O-000370,C-0024,2025-04-24,2025-05-05,Europe,Shipped
O-000371,C-0073,2025-03-08,2025-03-15,North America,Shipped
O-000372,C-0108,2025-02-15,2025-02-22,Europe,Shipped
O-000373,C-0092,2025-11-25,2025-12-04,North America,Shipped
O-000374,C-0083,2025-04-16,2025-04-20,Europe,Shipped
O-000375,C-0029,2025-03-16,2025-03-18,Europe,Shipped
O-000376,C-0106,2025-02-07,2025-02-18,Europe,Delivered
O-000377,C-0032,2025-09-23,2025-09-26,North America,Delivered
O-000378,C-0060,2025-12-29,2026-01-10,Europe,Delivered
O-000379,C-0077,2025-07-06,2025-07-17,Europe,Shipped
O-000380,C-0016,2025-04-09,2025-04-19,Europe,Shipped
O-000381,C-0053,2025-09-24,2025-10-04,Europe,Shipped
O-000382,C-0095,2025-07-08,2025-07-14,Europe,Shipped
O-000383,C-0101,2025-10-19,2025-10-22,Europe,Delivered
O-000384,C-0107,2025-12-11,2025-12-15,Europe,Shipped
O-000385,C-0037,2025-04-04,2025-04-13,North America,Delivered
O-000386,C-0022,2025-07-05,2025-07-18,Europe,Shipped
O-000387,C-0050,2025-12-18,2025-12-31,North America,Delivered
O-000388,C-0086,2025-08-10,2025-08-17,North America,Shipped
O-000389,C-0109,2025-06-17,2025-06-22,North America,Shipped
O-000390,C-0111,2025-12-27,2026-01-08,Europe,Shipped
O-000391,C-0104,2025-11-13,2025-11-22,North America,Delivered
O-000392,C-0107,2025-03-31,2025-04-02,Europe,Shipped
O-000393,C-0076,2025-08-16,2025-08-20,Europe,Shipped
O-000394,C-0089,2025-05-07,2025-05-17,Europe,Shipped
O-000395,C-0066,2025-02-17,2025-02-21,Europe,Delivered
O-000396,C-0110,2025-07-20,2025-07-25,North America,Shipped
O-000397,C-0096,2025-01-28,2025-02-05,Europe,Shipped
O-000398,C-0013,2025-04-30,2025-05-08,North America,Delivered
O-000399,C-0008,2025-09-29,2025-10-10,North America,Delivered
O-000400,C-0029,2025-12-05,2025-12-12,Europe,Shipped
O-000401,C-0075,2025-11-20,2025-12-03,Europe,Delivered
O-000402,C-0006,2025-05-03,2025-05-05,Europe,Delivered
O-000403,C-0087,2025-08-22,2025-08-31,Europe,Shipped
O-000404,C-0088,2025-12-21,2025-12-31,Europe,Delivered
O-000405,C-0083,2025-05-30,2025-05-31,Europe,Shipped
O-000406,C-0023,2025-05-06,2025-05-13,Europe,Shipped
O-000407,C-0101,2025-12-21,2026-01-04,Europe,Shipped
O-000408,C-0062,2025-05-01,2025-05-11,North America,Shipped
O-000409,C-0083,2025-10-07,2025-10-14,Europe,Shipped
O-000410,C-0040,2025-08-12,2025-08-14,Europe,Delivered
O-000411,C-0039,2025-05-28,2025-06-07,Europe,Shipped
O-000412,C-0059,2025-12-11,2025-12-21,Europe,Shipped
O-000413,C-0113,2025-03-19,2025-04-02,Europe,Shipped
O-000414,C-0062,2025-01-22,2025-01-28,North America,Shipped
O-000415,C-0116,2025-05-18,2025-05-21,North America,Shipped
O-000416,C-0090,2025-04-03,2025-04-13,Europe,Delivered
O-000417,C-0026,2025-06-04,2025-06-08,North America,Shipped
O-000418,C-0111,2025-02-25,2025-03-06,Europe,Delivered
O-000419,C-0117,2025-08-26,2025-09-02,Europe,Shipped
O-000420,C-0007,2025-10-17,2025-10-26,North America,Delivered
O-000421,C-0010,2025-08-06,2025-08-13,Europe,Shipped
O-000422,C-0080,2025-03-15,2025-03-18,North America,Shipped
O-000423,C-0078,2025-12-14,2025-12-19,Europe,Delivered
O-000424,C-0079,2025-06-11,2025-06-18,North America,Shipped
O-000425,C-0098,2025-04-24,2025-04-27,North America,Shipped
O-000426,C-0044,2025-09-14,2025-09-23,North America,Delivered
