order_line_id,order_id,product_id,quantity,unit_price,discount_pct
OL-0000122,O-000052,P-110,1,1282.50,0.10
OL-0000123,O-000052,P-310,4,185.00,0.00
OL-0000124,O-000052,P-200,7,5238.00,0.03
OL-0000125,O-000053,P-310,8,166.50,0.10
OL-0000126,O-000054,P-200,5,5130.00,0.05
OL-0000127,O-000055,P-210,3,864.00,0.10
OL-0000128,O-000055,P-210,8,912.00,0.05
OL-0000129,O-000055,P-300,5,3104.00,0.03
OL-0000130,O-000055,P-210,7,931.20,0.03
OL-0000131,O-000056,P-210,2,912.00,0.05
OL-0000132,O-000056,P-300,2,3200.00,0.00
OL-0000133,O-000056,P-100,2,800.25,0.03
OL-0000134,O-000057,P-100,1,800.25,0.03
OL-0000135,O-000057,P-110,4,1353.75,0.05
OL-0000136,O-000058,P-200,1,5130.00,0.05
OL-0000137,O-000058,P-310,3,166.50,0.10
OL-0000138,O-000059,P-100,5,800.25,0.03
OL-0000139,O-000059,P-200,1,4860.00,0.10
OL-0000140,O-000059,P-310,4,185.00,0.00
OL-0000141,O-000059,P-300,6,3040.00,0.05
OL-0000142,O-000060,P-210,3,960.00,0.00
OL-0000143,O-000060,P-100,6,783.75,0.05
OL-0000144,O-000061,P-300,3,3200.00,0.00
OL-0000145,O-000062,P-200,2,5400.00,0.00
OL-0000146,O-000062,P-300,2,3104.00,0.03
OL-0000147,O-000062,P-200,4,5400.00,0.00
OL-0000148,O-000062,P-100,5,742.50,0.10
OL-0000149,O-000063,P-310,5,166.50,0.10
OL-0000150,O-000064,P-110,7,1382.25,0.03
OL-0000151,O-000064,P-100,1,783.75,0.05
OL-0000152,O-000064,P-310,3,166.50,0.10
OL-0000153,O-000065,P-100,5,800.25,0.03
OL-0000154,O-000065,P-110,3,1353.75,0.05
OL-0000155,O-000065,P-310,7,185.00,0.00
OL-0000156,O-000065,P-100,7,800.25,0.03
OL-0000157,O-000066,P-310,8,179.45,0.03
OL-0000158,O-000067,P-100,3,783.75,0.05
OL-0000159,O-000068,P-310,7,179.45,0.03
OL-0000160,O-000068,P-300,7,3040.00,0.05
OL-0000161,O-000068,P-200,5,5400.00,0.00
OL-0000162,O-000069,P-200,1,5400.00,0.00
OL-0000163,O-000069,P-100,6,783.75,0.05
OL-0000164,O-000069,P-100,4,783.75,0.05
OL-0000165,O-000070,P-310,2,185.00,0.00
OL-0000166,O-000070,P-310,6,179.45,0.03
OL-0000167,O-000071,P-310,2,166.50,0.10
OL-0000168,O-000071,P-100,1,742.50,0.10
OL-0000169,O-000071,P-100,8,800.25,0.03
OL-0000170,O-000072,P-110,3,1353.75,0.05
OL-0000171,O-000072,P-200,3,4860.00,0.10
OL-0000172,O-000072,P-300,6,3040.00,0.05
OL-0000173,O-000072,P-200,4,4860.00,0.10
OL-0000174,O-000073,P-100,7,800.25,0.03
OL-0000175,O-000073,P-310,4,175.75,0.05
OL-0000176,O-000073,P-300,3,3040.00,0.05
OL-0000177,O-000073,P-300,2,3200.00,0.00
OL-0000178,O-000074,P-210,5,960.00,0.00
OL-0000179,O-000074,P-200,1,4860.00,0.10
OL-0000180,O-000074,P-110,6,1282.50,0.10
OL-0000181,O-000074,P-200,2,5238.00,0.03
OL-0000182,O-000075,P-100,5,825.00,0.00
OL-0000183,O-000076,P-100,2,825.00,0.00
OL-0000184,O-000076,P-210,5,864.00,0.10
OL-0000185,O-000076,P-210,1,864.00,0.10
OL-0000186,O-000076,P-210,3,960.00,0.00
OL-0000187,O-000077,P-300,7,2880.00,0.10
OL-0000188,O-000078,P-310,7,185.00,0.00
OL-0000189,O-000078,P-310,3,179.45,0.03
OL-0000190,O-000078,P-100,3,825.00,0.00
OL-0000191,O-000079,P-300,7,2880.00,0.10
OL-0000192,O-000080,P-210,2,931.20,0.03
OL-0000193,O-000080,P-310,3,179.45,0.03
OL-0000194,O-000081,P-110,4,1353.75,0.05
OL-0000195,O-000082,P-200,8,5238.00,0.03
OL-0000196,O-000082,P-210,4,864.00,0.10
OL-0000197,O-000082,P-300,5,3040.00,0.05
OL-0000198,O-000083,P-310,1,175.75,0.05
OL-0000199,O-000083,P-300,7,2880.00,0.10
OL-0000200,O-000083,P-200,8,4860.00,0.10
OL-0000201,O-000083,P-110,6,1353.75,0.05
OL-0000202,O-000084,P-200,2,5130.00,0.05
OL-0000203,O-000085,P-200,6,5238.00,0.03
OL-0000204,O-000085,P-310,7,185.00,0.00
OL-0000205,O-000085,P-300,6,2880.00,0.10
OL-0000206,O-000085,P-100,7,800.25,0.03
OL-0000207,O-000086,P-200,4,5238.00,0.03
OL-0000208,O-000086,P-110,3,1282.50,0.10
OL-0000209,O-000086,P-200,5,4860.00,0.10
OL-0000210,O-000087,P-110,2,1425.00,0.00
OL-0000211,O-000087,P-210,8,864.00,0.10
OL-0000212,O-000087,P-110,5,1425.00,0.00
OL-0000213,O-000088,P-310,7,175.75,0.05
OL-0000214,O-000088,P-110,1,1382.25,0.03
OL-0000215,O-000089,P-110,6,1382.25,0.03
OL-0000216,O-000089,P-310,5,166.50,0.10
OL-0000217,O-000089,P-210,6,931.20,0.03
OL-0000218,O-000090,P-200,5,5238.00,0.03
OL-0000219,O-000091,P-200,5,5400.00,0.00
OL-0000220,O-000091,P-210,7,912.00,0.05
OL-0000221,O-000092,P-310,4,185.00,0.00
OL-0000222,O-000092,P-310,7,179.45,0.03
OL-0000223,O-000093,P-200,6,4860.00,0.10
OL-0000224,O-000094,P-310,2,166.50,0.10
OL-0000225,O-000095,P-210,8,931.20,0.03
OL-0000226,O-000096,P-200,3,5400.00,0.00
OL-0000227,O-000097,P-200,7,5238.00,0.03
OL-0000228,O-000097,P-300,5,3200.00,0.00
OL-0000229,O-000097,P-110,4,1353.75,0.05
OL-0000230,O-000098,P-110,7,1282.50,0.10
OL-0000231,O-000098,P-100,6,783.75,0.05
OL-0000232,O-000098,P-200,8,5400.00,0.00
OL-0000233,O-000099,P-200,1,4860.00,0.10
OL-0000234,O-000099,P-210,7,931.20,0.03
OL-0000235,O-000100,P-200,2,4860.00,0.10
OL-0000236,O-000101,P-300,6,2880.00,0.10
OL-0000237,O-000101,P-200,7,4860.00,0.10
OL-0000238,O-000101,P-300,7,3104.00,0.03
OL-0000239,O-000102,P-200,2,5130.00,0.05
OL-0000240,O-000102,P-300,7,3040.00,0.05
OL-0000241,O-000102,P-210,1,864.00,0.10
OL-0000242,O-000102,P-310,4,185.00,0.00
OL-0000243,O-000103,P-210,6,931.20,0.03
OL-0000244,O-000103,P-310,2,166.50,0.10
OL-0000245,O-000103,P-200,2,5238.00,0.03
OL-0000246,O-000104,P-100,7,800.25,0.03
OL-0000247,O-000104,P-110,4,1425.00,0.00
OL-0000248,O-000104,P-200,1,5130.00,0.05
OL-0000249,O-000105,P-300,1,2880.00,0.10
OL-0000250,O-000106,P-210,1,864.00,0.10
OL-0000251,O-000107,P-210,5,931.20,0.03
OL-0000252,O-000107,P-210,7,864.00,0.10
OL-0000253,O-000108,P-300,7,3200.00,0.00
OL-0000254,O-000108,P-310,6,166.50,0.10
OL-0000255,O-000109,P-310,3,179.45,0.03
OL-0000256,O-000110,P-100,5,783.75,0.05
OL-0000257,O-000110,P-210,1,960.00,0.00
OL-0000258,O-000110,P-200,7,5400.00,0.00
OL-0000259,O-000111,P-310,1,185.00,0.00
OL-0000260,O-000111,P-310,5,166.50,0.10
OL-0000261,O-000112,P-110,5,1353.75,0.05
OL-0000262,O-000113,P-300,1,3200.00,0.00
OL-0000263,O-000113,P-100,8,742.50,0.10
OL-0000264,O-000113,P-100,4,783.75,0.05
OL-0000265,O-000113,P-100,2,825.00,0.00
OL-0000266,O-000114,P-310,8,166.50,0.10
OL-0000267,O-000114,P-210,4,912.00,0.05
OL-0000268,O-000114,P-200,6,4860.00,0.10
OL-0000269,O-000115,P-210,4,931.20,0.03
OL-0000270,O-000115,P-100,3,800.25,0.03
OL-0000271,O-000116,P-210,3,864.00,0.10
OL-0000272,O-000117,P-100,2,783.75,0.05
OL-0000273,O-000117,P-110,8,1282.50,0.10
OL-0000274,O-000117,P-310,6,179.45,0.03
OL-0000275,O-000117,P-210,7,960.00,0.00
OL-0000276,O-000118,P-300,5,3104.00,0.03
OL-0000277,O-000118,P-200,7,5238.00,0.03
OL-0000278,O-000118,P-210,2,912.00,0.05
OL-0000279,O-000118,P-200,7,5130.00,0.05
OL-0000280,O-000119,P-200,1,5238.00,0.03
OL-0000281,O-000119,P-200,4,5238.00,0.03
OL-0000282,O-000119,P-310,3,185.00,0.00
OL-0000283,O-000120,P-110,2,1425.00,0.00
OL-0000284,O-000120,P-310,8,166.50,0.10
OL-0000285,O-000120,P-210,4,960.00,0.00
OL-0000286,O-000121,P-200,3,5238.00,0.03
OL-0000287,O-000121,P-210,4,960.00,0.00
OL-0000288,O-000122,P-110,2,1353.75,0.05
OL-0000289,O-000122,P-210,2,931.20,0.03
OL-0000290,O-000123,P-210,3,960.00,0.00
OL-0000291,O-000124,P-200,3,5238.00,0.03
OL-0000292,O-000124,P-110,5,1282.50,0.10
OL-0000293,O-000124,P-210,5,960.00,0.00
OL-0000294,O-000125,P-310,5,175.75,0.05
OL-0000295,O-000125,P-210,7,912.00,0.05
OL-0000296,O-000126,P-110,2,1353.75,0.05
OL-0000297,O-000126,P-200,8,5238.00,0.03
OL-0000298,O-000126,P-110,6,1382.25,0.03
OL-0000299,O-000126,P-110,1,1382.25,0.03
OL-0000300,O-000127,P-100,6,783.75,0.05
OL-0000301,O-000128,P-310,6,166.50,0.10
OL-0000302,O-000128,P-310,8,185.00,0.00
OL-0000303,O-000128,P-100,2,800.25,0.03
OL-0000304,O-000129,P-110,4,1425.00,0.00
OL-0000305,O-000129,P-310,3,185.00,0.00
OL-0000306,O-000130,P-200,5,5238.00,0.03
OL-0000307,O-000130,P-210,5,864.00,0.10
OL-0000308,O-000130,P-310,2,166.50,0.10
OL-0000309,O-000131,P-210,6,960.00,0.00
OL-0000310,O-000131,P-210,5,931.20,0.03
OL-0000311,O-000132,P-300,5,3200.00,0.00
OL-0000312,O-000132,P-310,5,185.00,0.00
OL-0000313,O-000132,P-110,5,1382.25,0.03
OL-0000314,O-000133,P-310,7,166.50,0.10
OL-0000315,O-000133,P-300,3,3040.00,0.05
OL-0000316,O-000133,P-300,6,3104.00,0.03
OL-0000317,O-000133,P-310,7,175.75,0.05
OL-0000318,O-000134,P-300,3,3040.00,0.05
OL-0000319,O-000134,P-100,4,825.00,0.00
OL-0000320,O-000134,P-100,8,742.50,0.10
OL-0000321,O-000134,P-100,6,825.00,0.00
OL-0000322,O-000135,P-300,8,3200.00,0.00
OL-0000323,O-000135,P-200,3,4860.00,0.10
OL-0000324,O-000135,P-210,8,960.00,0.00
OL-0000325,O-000136,P-110,8,1382.25,0.03
OL-0000326,O-000136,P-100,7,825.00,0.00
OL-0000327,O-000137,P-100,4,783.75,0.05
OL-0000328,O-000137,P-200,6,4860.00,0.10
OL-0000329,O-000137,P-210,2,912.00,0.05
OL-0000330,O-000138,P-310,1,166.50,0.10
OL-0000331,O-000138,P-300,6,2880.00,0.10
OL-0000332,O-000138,P-100,6,783.75,0.05
OL-0000333,O-000138,P-110,5,1282.50,0.10
OL-0000334,O-000139,P-110,7,1425.00,0.00
OL-0000335,O-000139,P-310,3,166.50,0.10
OL-0000336,O-000139,P-300,5,2880.00,0.10
OL-0000337,O-000139,P-100,5,742.50,0.10
OL-0000338,O-000140,P-300,7,3200.00,0.00
OL-0000339,O-000140,P-110,5,1382.25,0.03
OL-0000340,O-000140,P-110,3,1353.75,0.05
OL-0000341,O-000140,P-200,1,4860.00,0.10
OL-0000342,O-000141,P-100,5,825.00,0.00
OL-0000343,O-000142,P-100,8,742.50,0.10
OL-0000344,O-000143,P-100,2,742.50,0.10
OL-0000345,O-000144,P-300,5,3040.00,0.05
OL-0000346,O-000144,P-210,3,931.20,0.03
OL-0000347,O-000144,P-200,4,5400.00,0.00
OL-0000348,O-000145,P-110,1,1425.00,0.00
OL-0000349,O-000145,P-110,8,1353.75,0.05
OL-0000350,O-000145,P-310,2,166.50,0.10
OL-0000351,O-000145,P-300,1,2880.00,0.10
OL-0000352,O-000146,P-200,3,5130.00,0.05
OL-0000353,O-000146,P-110,7,1282.50,0.10
OL-0000354,O-000147,P-100,8,783.75,0.05
OL-0000355,O-000147,P-110,1,1353.75,0.05
OL-0000356,O-000147,P-210,6,912.00,0.05
OL-0000357,O-000148,P-210,3,960.00,0.00
OL-0000358,O-000148,P-110,2,1353.75,0.05
OL-0000359,O-000148,P-110,6,1282.50,0.10
OL-0000360,O-000148,P-310,7,179.45,0.03
OL-0000361,O-000149,P-110,1,1353.75,0.05
OL-0000362,O-000150,P-100,7,783.75,0.05
OL-0000363,O-000150,P-200,8,5130.00,0.05
OL-0000364,O-000150,P-300,3,2880.00,0.10
OL-0000365,O-000151,P-300,5,2880.00,0.10
OL-0000366,O-000152,P-200,3,4860.00,0.10
OL-0000367,O-000152,P-310,2,175.75,0.05
OL-0000368,O-000153,P-210,2,912.00,0.05
OL-0000369,O-000153,P-200,8,5238.00,0.03
OL-0000370,O-000153,P-110,6,1282.50,0.10
OL-0000371,O-000153,P-110,7,1353.75,0.05
OL-0000372,O-000154,P-210,4,960.00,0.00
OL-0000373,O-000154,P-110,3,1353.75,0.05
OL-0000374,O-000154,P-300,7,3104.00,0.03
OL-0000375,O-000154,P-200,4,5130.00,0.05
OL-0000376,O-000155,P-310,4,166.50,0.10
OL-0000377,O-000155,P-210,6,960.00,0.00
OL-0000378,O-000156,P-200,4,4860.00,0.10
OL-0000379,O-000157,P-210,3,912.00,0.05
OL-0000380,O-000157,P-100,2,742.50,0.10
OL-0000381,O-000158,P-300,1,3040.00,0.05
OL-0000382,O-000159,P-100,2,800.25,0.03
OL-0000383,O-000159,P-210,1,931.20,0.03
OL-0000384,O-000160,P-200,5,4860.00,0.10
OL-0000385,O-000160,P-210,8,864.00,0.10
OL-0000386,O-000160,P-110,3,1282.50,0.10
OL-0000387,O-000161,P-310,8,175.75,0.05
OL-0000388,O-000161,P-110,5,1425.00,0.00
OL-0000389,O-000161,P-300,8,3040.00,0.05
OL-0000390,O-000161,P-210,5,864.00,0.10
OL-0000391,O-000162,P-200,2,5238.00,0.03
OL-0000392,O-000162,P-300,6,3040.00,0.05
OL-0000393,O-000162,P-210,5,931.20,0.03
OL-0000394,O-000163,P-300,7,3040.00,0.05
OL-0000395,O-000164,P-100,3,742.50,0.10
OL-0000396,O-000164,P-100,6,742.50,0.10
OL-0000397,O-000165,P-100,4,825.00,0.00
OL-0000398,O-000165,P-110,7,1425.00,0.00
OL-0000399,O-000165,P-100,2,783.75,0.05
OL-0000400,O-000165,P-100,6,783.75,0.05
OL-0000401,O-000166,P-300,5,3104.00,0.03
OL-0000402,O-000167,P-310,6,185.00,0.00
OL-0000403,O-000167,P-300,4,3104.00,0.03
OL-0000404,O-000167,P-300,1,2880.00,0.10
OL-0000405,O-000168,P-210,2,912.00,0.05
OL-0000406,O-000169,P-310,5,185.00,0.00
OL-0000407,O-000169,P-110,7,1382.25,0.03
OL-0000408,O-000170,P-200,2,5400.00,0.00
OL-0000409,O-000171,P-110,6,1425.00,0.00
OL-0000410,O-000171,P-110,1,1353.75,0.05
OL-0000411,O-000172,P-300,4,2880.00,0.10
OL-0000412,O-000172,P-110,3,1353.75,0.05
OL-0000413,O-000172,P-100,5,825.00,0.00
OL-0000414,O-000173,P-310,8,166.50,0.10
OL-0000415,O-000173,P-310,5,185.00,0.00
OL-0000416,O-000173,P-310,5,185.00,0.00
OL-0000417,O-000174,P-210,8,912.00,0.05
OL-0000418,O-000174,P-310,4,185.00,0.00
OL-0000419,O-000174,P-300,7,3104.00,0.03
OL-0000420,O-000174,P-300,5,3200.00,0.00
OL-0000421,O-000175,P-300,8,3200.00,0.00
OL-0000422,O-000175,P-300,8,3200.00,0.00
OL-0000423,O-000175,P-300,5,3104.00,0.03
OL-0000424,O-000175,P-100,6,742.50,0.10
OL-0000425,O-000176,P-210,2,931.20,0.03
OL-0000426,O-000176,P-310,6,179.45,0.03
OL-0000427,O-000176,P-210,4,960.00,0.00
OL-0000428,O-000176,P-300,7,2880.00,0.10
OL-0000429,O-000177,P-110,2,1382.25,0.03
OL-0000430,O-000178,P-100,4,825.00,0.00
OL-0000431,O-000178,P-300,2,2880.00,0.10
OL-0000432,O-000178,P-210,2,864.00,0.10
OL-0000433,O-000178,P-300,7,3104.00,0.03
OL-0000434,O-000179,P-310,7,185.00,0.00
OL-0000435,O-000179,P-110,2,1282.50,0.10
OL-0000436,O-000180,P-210,3,912.00,0.05
OL-0000437,O-000181,P-100,3,825.00,0.00
OL-0000438,O-000181,P-200,2,5238.00,0.03
OL-0000439,O-000182,P-110,2,1425.00,0.00
OL-0000440,O-000182,P-300,5,3040.00,0.05
OL-0000441,O-000182,P-210,1,912.00,0.05
OL-0000442,O-000182,P-110,7,1282.50,0.10
OL-0000443,O-000183,P-300,5,3104.00,0.03
OL-0000444,O-000183,P-110,1,1353.75,0.05
OL-0000445,O-000183,P-210,2,864.00,0.10
OL-0000446,O-000183,P-310,3,179.45,0.03
OL-0000447,O-000184,P-110,4,1282.50,0.10
OL-0000448,O-000184,P-100,4,742.50,0.10
OL-0000449,O-000185,P-100,2,783.75,0.05
OL-0000450,O-000185,P-100,7,825.00,0.00
OL-0000451,O-000185,P-300,3,3104.00,0.03
OL-0000452,O-000185,P-300,7,2880.00,0.10
OL-0000453,O-000186,P-300,3,3200.00,0.00
OL-0000454,O-000186,P-310,3,179.45,0.03
OL-0000455,O-000187,P-110,2,1425.00,0.00
OL-0000456,O-000187,P-200,1,4860.00,0.10
OL-0000457,O-000187,P-310,8,166.50,0.10
OL-0000458,O-000187,P-100,3,825.00,0.00
OL-0000459,O-000188,P-110,8,1425.00,0.00
OL-0000460,O-000189,P-100,8,783.75,0.05
OL-0000461,O-000190,P-110,4,1353.75,0.05
OL-0000462,O-000190,P-110,3,1382.25,0.03
OL-0000463,O-000190,P-210,7,864.00,0.10
OL-0000464,O-000190,P-100,3,800.25,0.03
OL-0000465,O-000191,P-300,8,3200.00,0.00
OL-0000466,O-000191,P-310,8,166.50,0.10
OL-0000467,O-000191,P-200,3,5238.00,0.03
OL-0000468,O-000191,P-310,5,166.50,0.10
OL-0000469,O-000192,P-100,5,783.75,0.05
OL-0000470,O-000192,P-310,6,166.50,0.10
OL-0000471,O-000193,P-310,3,179.45,0.03
OL-0000472,O-000193,P-300,6,3200.00,0.00
OL-0000473,O-000194,P-100,8,800.25,0.03
OL-0000474,O-000194,P-100,2,742.50,0.10
OL-0000475,O-000194,P-310,6,175.75,0.05
OL-0000476,O-000194,P-200,4,5238.00,0.03
OL-0000477,O-000195,P-100,2,800.25,0.03
OL-0000478,O-000196,P-300,3,2880.00,0.10
OL-0000479,O-000196,P-200,8,5238.00,0.03
OL-0000480,O-000196,P-300,2,3104.00,0.03
OL-0000481,O-000197,P-300,3,3104.00,0.03
OL-0000482,O-000197,P-300,8,2880.00,0.10
OL-0000483,O-000197,P-110,4,1282.50,0.10
OL-0000484,O-000198,P-200,1,5130.00,0.05
OL-0000485,O-000198,P-310,7,166.50,0.10
OL-0000486,O-000198,P-100,7,783.75,0.05
OL-0000487,O-000199,P-110,2,1282.50,0.10
OL-0000488,O-000200,P-310,5,179.45,0.03
OL-0000489,O-000200,P-100,3,783.75,0.05
OL-0000490,O-000200,P-210,5,864.00,0.10
OL-0000491,O-000201,P-300,4,3040.00,0.05
OL-0000492,O-000201,P-210,6,960.00,0.00
OL-0000493,O-000201,P-110,1,1382.25,0.03
OL-0000494,O-000201,P-200,7,4860.00,0.10
OL-0000495,O-000202,P-100,5,800.25,0.03
OL-0000496,O-000202,P-100,6,783.75,0.05
OL-0000497,O-000203,P-200,1,5130.00,0.05
OL-0000498,O-000203,P-310,3,166.50,0.10
OL-0000499,O-000204,P-310,5,175.75,0.05
OL-0000500,O-000204,P-300,5,2880.00,0.10
OL-0000501,O-000204,P-200,8,5400.00,0.00
OL-0000502,O-000204,P-200,3,5238.00,0.03
OL-0000503,O-000205,P-210,8,931.20,0.03
OL-0000504,O-000205,P-300,7,3104.00,0.03
OL-0000505,O-000205,P-110,4,1353.75,0.05
OL-0000506,O-000205,P-200,8,4860.00,0.10
OL-0000507,O-000206,P-310,7,179.45,0.03
OL-0000508,O-000206,P-100,8,800.25,0.03
OL-0000509,O-000207,P-100,7,825.00,0.00
OL-0000510,O-000207,P-200,1,4860.00,0.10
OL-0000511,O-000208,P-300,3,3200.00,0.00
OL-0000512,O-000208,P-110,5,1382.25,0.03
OL-0000513,O-000209,P-300,5,3104.00,0.03
OL-0000514,O-000209,P-300,7,2880.00,0.10
OL-0000515,O-000209,P-200,8,4860.00,0.10
OL-0000516,O-000209,P-100,1,800.25,0.03
OL-0000517,O-000210,P-100,1,800.25,0.03
OL-0000518,O-000210,P-200,7,5130.00,0.05
OL-0000519,O-000211,P-310,1,185.00,0.00
OL-0000520,O-000212,P-200,2,5130.00,0.05
OL-0000521,O-000212,P-200,6,4860.00,0.10
OL-0000522,O-000212,P-210,2,931.20,0.03
OL-0000523,O-000213,P-100,5,800.25,0.03
OL-0000524,O-000213,P-210,7,912.00,0.05
OL-0000525,O-000213,P-100,4,783.75,0.05
OL-0000526,O-000214,P-110,2,1382.25,0.03
